"","LONGITUDE","LATITUDE","value_mean","country"
"235",-117.525796,34.068114,52.8154222427328,"US"
"236",-82.414597,34.843899,13.3217343412528,"US"
"237",-120.4344,34.9481,10.7792479322948,"US"
"238",-106.584702,35.1353,17.8758692159386,"US"
"239",-119.0403,35.3561,21.5515729561918,"US"
"240",-97.4943,35.4772,11.7871787180298,"US"
"241",-97.7508,35.4794,10.4177284595301,"US"
"242",-97.577674,35.502968,29.9901390644761,"US"
"243",-78.8747,35.889402,8.46664449541285,"US"
"244",-80.2267,36.1106,12.4560387722134,"US"
"245",-5.350188,36.1128239995,28.9896833013436,"GI"
"246",-5.351246,36.1280679995,33.1818099547512,"GI"
"247",-5.353175,36.1333169995,41.3855207997387,"GI"
"248",-115.175572,36.139881,50.6416304202801,"US"
"249",36.2239186822,36.7141403795,18.6107398568019,"TR"
"250",-76.30135,36.85555,13.2944717686407,"US"
"251",35.3124388,36.999171,21.7343129467832,"TR"
"252",35.3125007451,37.0014588023,24.3998334027489,"TR"
"253",35.3440100793,37.0040545101,26.6657824933687,"TR"
"254",35.3440452,37.0041189,21.5999600159936,"TR"
"255",-76.386948,37.103683,6.81990252476844,"US"
"256",-79.884201,37.285599,9.05347925311216,"US"
"257",-77.40027,37.55652,15.5437385236868,"US"
"258",-122.3978,37.7658,17.8966408668734,"US"
"259",-87.5772,38.0133,15.410935439084,"US"
"260",-85.7121,38.1935,26.6171713836484,"US"
"261",27.082778,38.395833,25.7481139337952,"TR"
"262",27.109722,38.454167,23.655409731114,"TR"
"263",27.221389,38.469167,29.0091644204852,"TR"
"264",-78.816704,38.4772,14.5076518908868,"US"
"265",-90.281144,38.631057,20.1099322314053,"US"
"266",-121.50665,38.650716,11.7974291364536,"US"
"267",-90.198548,38.656449,20.5267583594141,"US"
"268",-90.44884,38.75264,19.5887257240209,"US"
"269",-77.635597,38.855301,7.49337494148859,"US"
"270",-77.058899,38.859402,17.0903070310105,"US"
"271",-76.958089,38.895683,20.0609612983776,"US"
"272",-77.489998,39.024399,10.9784698343233,"US"
